Start Date,End Date,IP Address,Respondent ID,"Did you use the Where to Walk feature in the app to find a local park, open space, or trail?",Why not? (Select all that apply), , .1, .2, .3,"Did you walk at a local park, open space, or trail during the Intentional Walk program?",Why not?,"Before the program, how many days a week did you walk for exercise?","On average, how many days a week during the program did friends and/or family walk with you?","During the last week of the program, how many days a week did you walk for exercise?","Now that the program is over, how many days a week do you plan to continue walking for exercise?",How often did you look at the Top Walkers feature in the app?,Why not?.1,The Top Walkers feature was easy to use,I liked being able to see my place among all walkers on the Top Walkers feature ,"Throughout the program, what were your top motivators to keep walking? (Select all that apply)", .4, .5, .6, .7, .8, .9,"Besides SF Giants tickets, what other prizes would motivate you to keep walking during the program? (e.g. grocery gift card, a pair of walking shoes, exercise equipment, etc.)",Which of the following options would make you walk more during the program? (Select all that apply), .10, .11, .12, .13, .14,How would you rate your health before starting the Intentional Walk Program on 6/1?,How would you rate your health now?,Did you experience any of these while participating in the program? (Select all that apply) , .15, .16, .17, .18,Did participating in the program lead to you making any other healthy lifestyle changes?,What healthy lifestyle changes did you make?,How did you find out about the Intentional Walk program? (select all that apply), .19, .20, .21, .22, .23,Would you participate in this program again?,Why not?.2,Is there anything you would change about the Intentional Walk app?
2023-09-08 10:41:40,2023-09-08 10:49:26,76.126.70.101,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,2,0,2,4,Sometimes,,Agree,Strongly agree,Feeling healthier,,,,,,,A pair of walking shoes,More ideas for where to walk in the app,,Quick tips for easy ways to walk more,,Earning awards/medals in the app,,Very good,Very good,More energy,Better sleep quaity,,,,No,,WIC,,,,,,Yes,,No
2023-09-08 10:43:49,2023-09-08 10:48:37,24.5.87.51,,No,I already have walking routes,,,,,Yes,,3,7,4,5,Often,,Agree,Agree,,,,Looking at my place on the Top Walkers feature,,,,Shoes and gift cards,,,,,Earning awards/medals in the app,,Fair,Good,More energy,,,Feel happier,,Yes,Eating better ,WIC,,,,,,Yes,,Yes I would like to see better regulation to make sure people don't cheat
2023-09-08 10:43:14,2023-09-08 10:46:25,73.158.123.127,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,3,5,5,6,Often,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,,The chance to win prizes,,,grocery gift card or walking shoes,,,,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Very good,Very good,,,Feel less stressed,,,Yes,better eating habits ,WIC,,,,,,Yes,,
2023-09-08 10:40:36,2023-09-08 10:45:30,76.126.2.63,,Yes,,,,,,No,Apple Watch is more convenient for me ,2,4,2,3,Sometimes,,Neither agree nor disagree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,,The chance to win prizes,,,Gift card ,More ideas for where to walk in the app,,,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Good,Good,More energy,,Feel less stressed,,,Yes,I get up early and sleep early ,WIC,,,,,,Yes,,I don’t have any idea 
2023-09-07 14:09:21,2023-09-07 14:13:26,172.59.128.59,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,5,5,6,5,Often,,Strongly agree,Strongly agree,Feeling healthier,,,,,,,Prizes didn't matter,,,,,Earning awards/medals in the app,,Good,Good,More energy,Better sleep quaity,Feel less stressed,,,Yes,Walking more drinking more water.,WIC,,,,,,Yes,,No
2023-09-06 10:53:30,2023-09-06 12:21:08,174.195.65.147,,Yes,,,,,,No,Didn’t know how to use ,2,1,5,3,Sometimes,,Agree,Neither agree nor disagree,Feeling healthier,,,,,The friends and/or family who walked with me or on their own,,None ,,Reminders/prompts to walk,,Quick facts about the health benefits of walking,,,Good,Good,More energy,,,,,No,,WIC,,,,,,Yes,,None 
2023-09-04 07:11:47,2023-09-04 07:22:14,73.93.247.169,,Yes,,,,,,Yes,,3,2,0,3,Often,,Strongly agree,Strongly agree,Feeling healthier,,,Looking at my place on the Top Walkers feature,The chance to win prizes,,,"Grocery gift cards, Gift cards,  six flags or great america tickets, aquarium tickets, and shoes",More ideas for where to walk in the app,,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,,,Fair,Good,More energy,,Feel less stressed,Feel happier,,Yes,"Some lifestyles I started to make was drink more water, and eat more healthier cooked meals ",WIC,,,,,,Yes,,Just the constant bug and crashing the app had on my phone 
2023-09-03 13:58:10,2023-09-03 14:03:40,73.158.129.251,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,7,3,4,7,Sometimes,,Strongly agree,Strongly agree,,,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,,,I think as long as the prize matches the period of time. The longer the time periods the bigger the prizes. Not sure I would have done without the allure of a significant prize. Especially since I am low income. ,More ideas for where to walk in the app,,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Good,Good,,,Feel less stressed,,,Yes,Eating better ,,Rec and Park flyer or newsletter,,,,,Yes,,I think the app has much use outside of just this event. It’s a clean east to use app. I wish the city would do this often for more than just baseball 
2023-09-03 13:43:18,2023-09-03 13:56:03,73.241.108.17,,No,I already have walking routes,,,,,Yes,,0,0,7,7,Often,,Strongly agree,Strongly agree,Feeling healthier,,,,,,,Grocery gift card ,,,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Poor,Excellent,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,Excise at least one hour a day ,,,Info table at Heart of the City Farmers' Market,,,,Yes,,
2023-09-02 22:43:58,2023-09-02 22:52:36,172.58.88.87,,Yes,,,,,,Yes,,7,7,7,7,Often,,Strongly agree,Strongly agree,Feeling healthier,,,,,,,a pair of walking shoes ,,,Quick tips for easy ways to walk more,,,,Very good,Very good,More energy,,,,,Yes,more stable rhythm,WIC,,,,,,Yes,,
2023-09-02 15:44:43,2023-09-02 16:00:30,172.58.88.31,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,2,5,5,6,Often,,Strongly agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,,Looking at my place on the Top Walkers feature,,,,"Walking shoes, grocery gift card ",,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Good,Excellent,,Better sleep quaity,Feel less stressed,,,Yes,eat healthy,WIC,,,,,,Yes,,No. I really like the app and it's very easy to use
2023-09-02 14:27:19,2023-09-02 14:37:50,157.131.203.136,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",,"I use another method to find local parks, open spaces, and/or trails",,Yes,,5,0,5,5,Often,,Agree,Agree,,,,,,,Was not any more motivated than before the program. I enjoy walking and walk when it is enjoyable. ,Cash ,,,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,Being able to see not just the top ten but the other walkers so I could see how far to walk to pass the next person above me. ,Very good,Very good,,,,,,No,,WIC,,,,,,Yes,,"You should be able to see all the walkers, not just the top ten. When I realized I didn’t have a chance to be in the top ten, I didn’t try anymore, and that was only after a week or so. There’s just no chance to make up hundreds of thousands of steps. But I could have passed the person in front of me, maybe even three people in front of me. Seeing the people right in front of me might have made me do a quick after-dinner stroll. Attainable goals (even without prizes) are more of a motivator for me. I also would have liked to have seen what my ranking was out of the whole program. Okay so I’m #44, but is that out of 45 total, or out of 200, or 5,000? It makes a difference in my motivation level. And I don’t know if people actually passed me or if more people just joined the program and their data got added from their phones. Perhaps have age categories too, or something to make it so you’re not competing with everyone in the whole program. Like instead of the top ten total, do the top 2 from each of 5 different age categories. "
